Trophy ID,Name,Description,Bronze Req,Silver Req,Gold Req,Coin Reward,XP Reward,CASH REWARD
0,More From Décor,Collect 5 times from the Gallery,1,27,10,25,5,0
1,Sharing The Fluffiness,Sell 3 Wool at the Sales Desk,5,7,10,50,5,0
2,The Secret Sauce,Find a Deluxifier,3,16,10,0,50,5
3,"Bigger, Better",Expand to a new Acre,1,34,10,100,10,0
4,Who's The Straw Man?,Find the Scarecrow,1,8,10,0,10,5
5,Now That's A Forest,Have 15 Fruit Trees,1,38,10,0,25,5
6,Walt's Fertilizer Plaaaaane,Use the Super Fertilizer 10 times,15,38,30,1000,500,0
7,Going Bananas,Harvest 15 Bananas,10,15,30,0,100,10
8,More Like A Zoo,Have 10 Adult Animals,15,14,10,5000,1500,0
9,Beep! Beep! Delivery!,Deliver 200 orders at the Sales Desk,10,38,30,0,100,10
10,The Good Samaritan,Send 100 gifts to your Neighbors,200,40,30,0,1000,25
11,Beloved Neighbor,Receive 15 presents from your Neighbors,100,28,30,0,1000,25
12,Manifest Destiny,Expand to the Fabled Acre,15,31,30,1000,250,0
13,Good As New,"Renovate the Manor's final Room, the Attic",1,8,70,0,20000,25
14,Irresistible,Get Grace to actually like you,1,27,70,0,25000,25
15,Colorful Candy,Make a Deluxe Rainbow Lollipop,4,29,50,10000,5000,0
16,It Belongs In A Museum,Turn in every Collection at least once,1,25,50,0,5000,25
17,Farmer Superstar,Be absolutely loved by all your Neighbors,15,5,70,0,10000,25
18,The Greatest Flock,Have an adult animal of each type,10,42,70,0,15000,25
19,Renovate the Manor's Kitchen,Cindy Lou,32,38,100,0,50000,50
